created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-07 00:41:17 -02,259,28.78000,70.69141,101249.58594,,,,
2019-11-07 00:41:37 -02,260,28.70000,70.77051,101243.89062,,,,
2019-11-07 00:41:58 -02,261,28.71000,70.86523,101244.82812,,,,
2019-11-07 00:42:19 -02,262,28.69000,70.86230,101242.36719,,,,
2019-11-07 00:42:39 -02,263,28.72000,70.86621,101242.00000,,,,
2019-11-07 00:43:00 -02,264,28.73000,70.84473,101243.53125,,,,
2019-11-07 00:43:21 -02,265,28.78000,70.79492,101242.20312,,,,
2019-11-07 00:43:41 -02,266,28.79000,70.68262,101243.73437,,,,
2019-11-07 00:44:02 -02,267,28.80000,70.64844,101241.53125,,,,
2019-11-07 00:44:23 -02,268,28.82000,70.62891,101235.74219,,,,
2019-11-07 00:44:44 -02,269,28.84000,70.57520,101241.08594,,,,
2019-11-07 00:45:05 -02,270,28.86000,70.53223,101242.57812,,,,
2019-11-07 00:45:26 -02,271,28.85000,70.49609,101242.15625,,,,
2019-11-07 00:45:46 -02,272,28.81000,70.54785,101241.35937,,,,
2019-11-07 00:46:07 -02,273,28.80000,70.58008,101249.25000,,,,
2019-11-07 00:46:28 -02,274,28.75000,70.66602,101251.30469,,,,
2019-11-07 00:46:49 -02,275,28.74000,70.72070,101247.26562,,,,
2019-11-07 00:47:09 -02,276,28.75000,70.73438,101241.81250,,,,
2019-11-07 00:47:30 -02,277,28.77000,70.70117,101239.60937,,,,
2019-11-07 00:47:51 -02,278,28.79000,70.66016,101245.60156,,,,
2019-11-07 00:48:11 -02,279,28.75000,70.65430,101247.40625,,,,
2019-11-07 00:48:32 -02,280,28.76000,70.71191,101236.81250,,,,
2019-11-07 00:48:53 -02,281,28.77000,70.66699,101241.98438,,,,
2019-11-07 00:49:13 -02,282,28.75000,70.67578,101241.21875,,,,
2019-11-07 00:49:34 -02,283,28.73000,70.69629,101243.28125,,,,
2019-11-07 00:49:55 -02,284,28.73000,70.75293,101252.76562,,,,
2019-11-07 00:50:16 -02,285,28.72000,70.71777,101250.73437,,,,
2019-11-07 00:50:36 -02,286,28.70000,70.69141,101242.20312,,,,
2019-11-07 00:50:57 -02,287,28.71000,70.72754,101244.54687,,,,
2019-11-07 00:51:18 -02,288,28.73000,70.68457,101247.17969,,,,
2019-11-07 00:51:38 -02,289,28.74000,70.65137,101241.92187,,,,
2019-11-07 00:51:59 -02,290,28.73000,70.61719,101245.73437,,,,
2019-11-07 00:52:20 -02,291,28.69000,70.67773,101241.60156,,,,
2019-11-07 00:52:41 -02,292,28.70000,70.69141,101238.13281,,,,
2019-11-07 00:53:01 -02,293,28.70000,70.65723,101241.85937,,,,
2019-11-07 00:53:22 -02,294,28.72000,70.62598,101245.98437,,,,
2019-11-07 00:53:43 -02,295,28.75000,70.69922,101241.04687,,,,
2019-11-07 00:54:03 -02,296,28.74000,70.65137,101239.60156,,,,
2019-11-07 00:54:24 -02,297,28.76000,70.70020,101235.45312,,,,
2019-11-07 00:54:45 -02,298,28.76000,70.74707,101239.01562,,,,
2019-11-07 00:55:06 -02,299,28.76000,70.77051,101238.84375,,,,
2019-11-07 00:55:26 -02,300,28.74000,70.80078,101235.70312,,,,
2019-11-07 00:55:47 -02,301,28.75000,70.84961,101235.87500,,,,
2019-11-07 00:56:08 -02,302,28.75000,70.87109,101237.57031,,,,
2019-11-07 00:56:28 -02,303,28.77000,70.88477,101237.49219,,,,
2019-11-07 00:56:49 -02,304,28.79000,70.87793,101236.10937,,,,
2019-11-07 00:57:10 -02,305,28.76000,70.86230,101239.35156,,,,
2019-11-07 00:57:30 -02,306,28.75000,70.87207,101240.62500,,,,
2019-11-07 00:57:51 -02,307,28.76000,70.82812,101243.42187,,,,
2019-11-07 00:58:12 -02,308,28.76000,70.83887,101250.37500,,,,
2019-11-07 00:58:32 -02,309,28.76000,70.77051,101239.78125,,,,
2019-11-07 00:58:53 -02,310,28.75000,70.73340,101238.50000,,,,
2019-11-07 00:59:14 -02,311,28.75000,70.76758,101239.34375,,,,
2019-11-07 00:59:35 -02,312,28.78000,70.76172,101238.73437,,,,
2019-11-07 00:59:55 -02,313,28.76000,70.70117,101245.28906,,,,
2019-11-07 01:00:16 -02,314,28.76000,70.70117,101242.82812,,,,
2019-11-07 01:00:37 -02,315,28.76000,70.73438,101239.43750,,,,
2019-11-07 01:00:57 -02,316,28.74000,70.76660,101237.85156,,,,
2019-11-07 01:01:18 -02,317,28.75000,70.75586,101238.67187,,,,
2019-11-07 01:01:39 -02,318,28.78000,70.70313,101239.23437,,,,
2019-11-07 01:02:00 -02,319,28.75000,70.67773,101238.42187,,,,
2019-11-07 01:02:20 -02,320,28.77000,70.64551,101238.73437,,,,
2019-11-07 01:02:41 -02,321,28.77000,70.57520,101240.79687,,,,
2019-11-07 01:03:02 -02,322,28.76000,70.59863,101242.82812,,,,
2019-11-07 01:03:22 -02,323,28.79000,70.54590,101244.57812,,,,
2019-11-07 01:03:43 -02,324,28.78000,70.53223,101246.28125,,,,
2019-11-07 01:04:04 -02,325,28.77000,70.53125,101236.69531,,,,
2019-11-07 01:04:25 -02,326,28.77000,70.54297,101248.90625,,,,
2019-11-07 01:04:45 -02,327,28.80000,70.46484,101242.80469,,,,
2019-11-07 01:05:06 -02,328,28.85000,70.51953,101239.95313,,,,
2019-11-07 01:05:27 -02,329,28.88000,70.35352,101241.53906,,,,
2019-11-07 01:05:47 -02,330,28.90000,70.26270,101240.68750,,,,
2019-11-07 01:06:08 -02,331,28.91000,70.24121,101243.57813,,,,
2019-11-07 01:06:28 -02,332,28.92000,70.16211,101238.03125,,,,
2019-11-07 01:06:49 -02,333,28.92000,70.10449,101240.23438,,,,
2019-11-07 01:07:10 -02,334,28.91000,70.09180,101238.48438,,,,
2019-11-07 01:07:30 -02,335,28.87000,70.02930,101250.98437,,,,
2019-11-07 01:07:51 -02,336,28.83000,70.06934,101244.47656,,,,
2019-11-07 01:08:11 -02,337,28.79000,70.18945,101248.99219,,,,
2019-11-07 01:08:32 -02,338,28.80000,70.24707,101242.71875,,,,
2019-11-07 01:08:53 -02,339,28.79000,70.21289,101236.95312,,,,
2019-11-07 01:09:13 -02,340,28.76000,70.18359,101237.74219,,,,
2019-11-07 01:09:34 -02,341,28.76000,70.25391,101234.01562,,,,
2019-11-07 01:09:55 -02,342,28.79000,70.20117,101235.93750,,,,
